feature,mean_abs_shap
"airport_name_Tallahassee, FL: Tallahassee International",2.8423210484585838e-05
airport_MYR,2.7185514063387942e-05
airport_PUB,2.2684355357719116e-05
"airport_name_Kalispell, MT: Glacier Park International",1.4389450778152347e-05
"airport_name_Albuquerque, NM: Albuquerque International Sunport",7.0132338320034465e-06
"airport_name_Yuma, AZ: Yuma MCAS/Yuma International",0.0
"airport_name_Walla Walla, WA: Walla Walla Regional",0.0
"airport_name_Waco, TX: Waco Regional",0.0
"airport_name_Sioux Falls, SD: Joe Foss Field",0.0
"airport_name_Yakutat, AK: Yakutat Airport",0.0
"airport_name_Staunton, VA: Shenandoah Valley Regional",0.0
"airport_name_Stillwater, OK: Stillwater Regional",0.0
airport_AKN,0.0
"airport_name_Toledo, OH: Toledo Express",0.0
"airport_name_Yakima, WA: Yakima Air Terminal/McAllister Field",0.0
"airport_name_Wrangell, AK: Wrangell Airport",0.0
"airport_name_Worcester, MA: Worcester Regional",0.0
"airport_name_Wilmington, NC: Wilmington International",0.0
"airport_name_White Plains, NY: Westchester County",0.0
"airport_name_Watertown, NY: Watertown International",0.0
"airport_name_St. Augustine, FL: Northeast Florida Regional",0.0
carrier_FL,0.0
carrier_QX,0.0
"airport_name_Waterloo, IA: Waterloo Regional",0.0
airport_ALB,0.0
airport_ALO,0.0
airport_ALS,0.0
airport_ALW,0.0
airport_ANC,0.0
"airport_name_St. Cloud, MN: St. Cloud Regional",0.0
"airport_name_St. George, UT: St George Regional",0.0
"airport_name_St. Petersburg, FL: St Pete Clearwater International",0.0
"airport_name_State College, PA: University Park",0.0
"airport_name_Williston, ND: Williston Basin International",0.0
airport_LWB,0.0
airport_LWS,0.0
airport_LYH,0.0
airport_MAF,0.0
airport_MBS,0.0
airport_MCW,0.0
airport_MEI,0.0
airport_MEM,0.0
airport_MFE,0.0
airport_LAR,0.0
airport_DHN,0.0
airport_DIK,0.0
airport_DLG,0.0
airport_DLH,0.0
airport_DRO,0.0
airport_DRT,0.0
airport_LCK,0.0
airport_LEX,0.0
airport_LIH,0.0
airport_MHT,0.0
airport_MKE,0.0
airport_MLB,0.0
airport_MLI,0.0
airport_MLU,0.0
airport_MMH,0.0
airport_MOB,0.0
airport_MOT,0.0
airport_MQT,0.0
airport_MRY,0.0
airport_MSN,0.0
airport_LRD,0.0
airport_LSE,0.0
airport_OMA,0.0
airport_OME,0.0
airport_MFR,0.0
airport_MGM,0.0
airport_MHK,0.0
airport_DVL,0.0
airport_EAR,0.0
airport_EAU,0.0
airport_EGE,0.0
airport_EKO,0.0
airport_COD,0.0
airport_LAW,0.0
airport_LBE,0.0
airport_LBF,0.0
airport_LBL,0.0
airport_LCH,0.0
airport_OWB,0.0
airport_PAH,0.0
airport_PBG,0.0
airport_PGD,0.0
airport_PGV,0.0
airport_PIA,0.0
airport_PIB,0.0
airport_MSY,0.0
airport_MTJ,0.0
airport_MVY,0.0
airport_OAJ,0.0
airport_OAK,0.0
airport_OGD,0.0
airport_OGS,0.0
airport_OKC,0.0
airport_ROW,0.0
airport_RST,0.0
airport_PIE,0.0
airport_PIH,0.0
airport_PIR,0.0
airport_PLN,0.0
airport_PNS,0.0
airport_PPG,0.0
airport_PRC,0.0
airport_PSC,0.0
airport_PSE,0.0
airport_PSG,0.0
airport_PSM,0.0
airport_OTH,0.0
airport_OTZ,0.0
airport_CYS,0.0
airport_DAB,0.0
airport_DAY,0.0
airport_DBQ,0.0
airport_DEC,0.0
airport_CGI,0.0
airport_RAP,0.0
airport_RDD,0.0
airport_RDM,0.0
airport_RFD,0.0
airport_RHI,0.0
airport_RIC,0.0
airport_RIW,0.0
airport_RKS,0.0
airport_RNO,0.0
airport_ROA,0.0
airport_SBA,0.0
airport_SBN,0.0
airport_SBP,0.0
airport_SCC,0.0
airport_SCE,0.0
airport_SCK,0.0
airport_SGF,0.0
airport_SGU,0.0
airport_PWM,0.0
airport_COS,0.0
airport_COU,0.0
airport_CPR,0.0
airport_CRP,0.0
airport_CRW,0.0
airport_CSG,0.0
airport_CWA,0.0
airport_SPN,0.0
airport_SPS,0.0
airport_SAF,0.0
airport_SAV,0.0
airport_LIT,0.0
airport_INL,0.0
airport_ISN,0.0
airport_ITH,0.0
airport_ITO,0.0
airport_JAN,0.0
airport_JLN,0.0
airport_JMS,0.0
airport_JST,0.0
airport_KOA,0.0
airport_KTN,0.0
airport_HRL,0.0
airport_SWO,0.0
airport_SYR,0.0
airport_TBN,0.0
airport_TLH,0.0
airport_TOL,0.0
airport_TRI,0.0
airport_TTN,0.0
airport_SHD,0.0
airport_SHR,0.0
airport_SHV,0.0
airport_SIT,0.0
